Year,Authors,Title,Source title,DOI,Abstract
2026,Rodríguez S.; Guerrero-Guevara L.F.; Corzo-Forero J.; León-Prieto C.,"Built environment and environmental determinants of neurological health: opportunities in Bogotá, Colombia",Journal of Transport and Health,10.1016/j.jth.2026.102286,"Introduction Neurological disorders are a leading cause of disease burden in Latin America, with impacts that are increasingly concentrated in urban centers such as Bogotá. The built environment and environmental determinants shape biological, cognitive, and emotional processes, positioning the city itself as a central factor in promoting brain health. Methods This commentary synthesizes evidence from transport and health, environmental epidemiology, and neuroscience to identify key transport-related exposures and mechanisms. We organize the discussion around four pathways: (i) physical activity enabled by active and public transport; (ii) exposure to air pollution and traffic-related noise; (iii) road traffic injuries and traumatic brain injury; and (iv) psychosocial stress and social interaction shaped by urban mobility and public space. Promising urban mobility interventions in Bogotá are used to illustrate how transport policies operate through these pathways. Results Transport policies influence neurological health through measurable mechanisms. Infrastructure for walking and cycling, public transport systems, and car-restrictive measures promote routine physical activity with potential benefits for neuroplasticity and cognitive function. Emission-control policies, traffic reduction, and urban greening reduce exposure to air pollution and noise, mitigating neuroinflammatory processes associated with cognitive decline. Speed management and Vision Zero–type approaches reduce the burden of traffic-related traumatic brain injury. Bogotá’s experiences including Ciclovía, cycling infrastructure, active public transport, and green public spaces, demonstrate how transport instruments can jointly address mobility, environmental exposures, and brain health. Conclusions Framing neurological health as a transport-relevant outcome enables more comprehensive evaluation of urban mobility interventions. Incorporating cognitive outcomes, injury indicators, and high-resolution exposure metrics into transport policy assessments can strengthen the evidence base for designing cities that support lifelong brain health. © 2026 Elsevier Ltd."
2026,Sanjuan J.; García A.F.; Gutiérrez-Martínez M.I.; Villegas-Gomez G.A.,Survival and Risk Factors in Interpersonal Injuries: A Secondary Ecosocial Study,Journal of Surgical Research,10.1016/j.jss.2025.12.014,"Introduction: Interpersonal injuries are a major public health concern disproportionately affecting young men. This study evaluated survival and risk factors in patients with interpersonal injuries, by applying Krieger's ecosocial model to integrate biological and structural determinants. Methods: A secondary analysis was conducted using data from an observational cohort of trauma patients at four referral centers in Cali, Colombia. Patients with interpersonal injuries were classified by mechanism. Macro-level factors (sociodemographics, insurance, and institutional complexity) and microlevel factors (physiology and anatomical severity) were analyzed with Cox regression. Results: Of 856 trauma patients, 539 (61.5%) sustained interpersonal injuries. Crude mortality was 12.8%, with half of the deaths within 72 h. In multivariate models, undetectable systolic blood pressure (hazard ratio [HR], 106.3; 95% confidence interval [CI], 2.97–3799.9; P = 0.011) and Glasgow Coma Scale score of 3 (HR, 29.7, 95% CI, 8.1–108.6; P < 0.001) were strongly linked to mortality. Severe traumatic brain injury (Abbreviated Injury Scale (AIS) 5; HR, 7.6; 95% CI, 1.4–39.8; P = 0.017) and abdominal trauma (AIS 5; HR, 11.5, 95% CI, 2.1–64.3; P = 0.005) increased risk, while thoracic trauma (AIS 3; HR, 0.25; 95% CI, 0.07–0.91; P = 0.035) was protective. Treatment at high-complexity hospitals reduced mortality (HR, 0.09; 95% CI, 0.02–0.46; P = 0.004). Patients with no or subsidized insurance had lower mortality than those in the contributory regime, suggesting structural determinants shape survival. Conclusions: Trauma survival depends on both physiological severity and structural factors. Strengthening trauma systems and reducing inequities are essential, with the ecosocial framework offering a valuable lens for trauma epidemiology and policy. © 2025 Elsevier Inc."
2026,Gomez-Niebles S.; Osejo-Arcos V.; Vergara-Garcia D.; Aguilera-Pena M.P.; Ibanez-Pinilla M.; Aponte-Caballero R.; Abaunza-Camacho J.F.; Avellaneda-Curcho L.C.; García-Agudelo L.; Barrera-Guzmán C.; Gonzalez N.R.; Riveros-Castillo W.M.; Saavedra J.M.,"The Shifting Landscape of Traumatic Brain Injury After COVID-19: Prelockdown, Lockdown, and Postlockdown Trends: Data from a Referral Center in Colombia",World Neurosurgery,10.1016/j.wneu.2025.124667,"Background: The coronavirus disease 2019 pandemic required widespread lockdowns, which have been shown to influence the incidence and characteristics of traumatic brain injury (TBI) worldwide. However, the specific influence of the pandemic on TBI epidemiology in Latin America, particularly Colombia, remains largely unexplored. Methods: This cross-sectional study included patients with TBI who were admitted to the Hospital Regional de la Orinoquía, a referral center in Colombia, from 2017 to 2021. The patients were categorized into 3 cohorts: prelockdown (PrL), lockdown (L), and postlockdown (PoL). Multivariate statistical analysis was used to compare differences among cohorts. Results: A total of 4303 patients were included, including 2,795, 495, and 1013 in the PrL, L, and PoL cohorts, respectively. Patients in the L exhibited significantly lower Glasgow Coma Scale scores at admission than those in the other 2 cohorts. Additionally, the incidence of extracranial trauma was higher in the PoL, reaching levels similar to or even superior to those in the PrL. Conclusions: TBI characteristics changed not only during the L but also in its aftermath, as PoL patients exhibited distinct features from those in the PrL. © 2025"
2025,Chong S.-L.; Zhu Y.; Wang Q.; Caporal P.; Roa J.D.; Chamorro F.I.P.; Teran Miranda T.E.; Dang H.; Gan C.S.; Abbas Q.; Ardila I.J.; Antar M.A.; Domínguez-Rojas J.A.; Rodríguez M.M.; Watzlawik N.Z.; Gómez Arriola N.E.; Yock-Corrales A.; Lasso-Palomino R.E.; Xiu M.M.; Ong J.S.M.; Kurosawa H.; Aparicio G.; Liu C.; Samransamruajkit R.; Jaramillo-Bustamante J.C.; Anantasit N.; Chor Y.K.; Turina D.M.; Lee P.C.; Flores M.F.; Pilar Orive F.J.; Ng Pei Wen J.; González-Dambrauskas S.; Lee J.H.; Kazzaz Y.M.; Jian J.; Qian S.; Fan L.; Lee O.P.E.; Chuah S.L.; You K.; Zhang T.; Noguera D.L.; Cerón E.; Barceló A.L.; Domínguez S.B.R.; Ortega Ocas C.J.,Clinical Outcomes of Hypertonic Saline vs Mannitol Treatment among Children with Traumatic Brain Injury,JAMA Network Open,10.1001/jamanetworkopen.2025.0438,"Importance: The use of hypertonic saline (HTS) vs mannitol in the control of elevated intracranial pressure (ICP) secondary to neurotrauma is debated. Objective: To compare mortality and functional outcomes of treatment with 3% HTS vs 20% mannitol among children with moderate to severe traumatic brain injury (TBI) at risk of elevated ICP. Design, Setting, and Participants: This prospective, multicenter cohort study was conducted between June 1, 2018, and December 31, 2022, at 28 participating pediatric intensive care units in the Pediatric Acute and Critical Care Medicine in Asia Network (PACCMAN) and the Red Colaborativa Pediátrica de Latinoamérica (LARed) in Asia, Latin America, and Europe. The study included children (aged <18 years) with moderate to severe TBI (Glasgow Coma Scale [GCS] score ≤13). Exposure: Treatment with 3% HTS compared with 20% mannitol. Main Outcomes and Measures: Multiple log-binomial regression analysis was performed for mortality, and multiple linear regression analysis was performed for discharge Pediatric Cerebral Performance Category (PCPC) scores and 3-month Glasgow Outcome Scale-Extended Pediatric Version (GOS-E-Peds) scores. Inverse probability of treatment weighting was also performed using the propensity score method to control for baseline imbalance between groups. Results: This study included 445 children with a median age of 5.0 (IQR, 2.0-11.0) years. More than half of the patients (279 [62.7%]) were boys, and 344 (77.3%) had severe TBI. Overall, 184 children (41.3%) received 3% HTS, 82 (18.4%) received 20% mannitol, 69 (15.5%) received both agents, and 110 (24.7%) received neither agent. The mortality rate was 7.1% (13 of 184 patients) in the HTS group and 11.0% (9 of 82 patients) in the mannitol group (P =.34). After adjusting for age, sex, presence of child abuse, time between injury and hospital arrival, lowest GCS score in the first 24 hours, and presence of extradural hemorrhage, no between-group differences in mortality, hospital discharge PCPC scores, or 3-month GOS-E-Peds scores were observed. Conclusions and Relevance: In this cohort study of children with moderate to severe TBI, the use of HTS was not associated with increased survival or improved functional outcomes compared with mannitol. Future large multicenter randomized clinical trials are required to validate these findings.  © 2025 Chong SL et al."
2025,Flórez de Moya H.Y.; Montenegro-Apraez A.A.; Barrera L.R.Q.; Rojas W.E.; Fernandez L.D.P.; Trejos S.S.,Endovascular Treatment of Blunt Aortic Trauma: First Colombian Case Series,Journal of Endovascular Resuscitation and Trauma Management,10.26676/jevtm.48940,"Background: Endovascular repair of the aorta has been established as the treatment of choice for patients with closed traumatic aortic injury, and its implementation has resulted in better clinical outcomes for patients. Our objective was to describe a case series of patients with closed traumatic aortic injury who received endovascular management. Methods: We carried out a retrospective review of the experience accumulated over 5 years in a level IV center in Colombia of the management of closed traumatic aortic injury with endovascular treatment. We found four patients with different aortic injuries described as grade II or III. Endovascular management was performed during the first 48 hours after admission to the emergency room; hospital survival was 100%, and there was no record of complications after the procedure. Conclusions: Endovascular repair is the treatment of choice for closed traumatic aortic injury, including scenarios of hemodynamic instability. This is the first case series published from Colombia. © 2025 The Author(s)."
2024,Rivera Ordóñez A.C.; Jojoa Cultid A.I.; Mora Benitez D.A.,Moderate and severe traumatic brain injury in a hospital in southwest Colombia: Clinical radiological factors related to mortality; [Trauma craneoencefálico moderado y severo en un hospital del suroccidente de Colombia: factores clínico-radiológicos relacionados con la mortalidad],Acta Neurologica Colombiana,10.22379/anc.v40i2.1771,"Introduction: Traumatic brain injury is a disease with high mortality rates, so it is highly relevant to identify the factors that affect it. Materials and methods: An analytical study was prepared between 2020 and 2021, which included patients with moderate and severe head trauma, characterized the variables most related to prognosis, such as demographic, clinical, and radiological aspects, and analyzed the association between mortality and these variables. Results: Hospital mortality was 22.8%, finding as conditions related to mortality the respiratory rate, anisocoria, pupillary reflex, ICU care and as a factor related to survival, the number of days of hospital stay. Discussion: Mortality due to traumatic brain injury is higher in low-and middle-income countries, possibly due to a higher incidence of traffic accidents and limited access to treatment. The factors identified in this study are consistent with previous research, emphasizing the importance of pupillary abnormalities in patient assessment. Conclusions: A comprehensive physical examination from the time of admission is crucial, as the presence of tachypnea, anisocoria, absence of pupillary reflex, or signs of shock can dictate prognosis. While global literature primarily focuses on characterizing traumatic brain injuries, this study underscores the need for further research on factors predicting protracted hospital courses with fatal outcomes. © 2024, Colombian Association of Neurology. All rights reserved."
2024,Shool S.; Piri S.M.; Ghodsi Z.; Tabrizi R.; Amirzade-Iranaq M.H.; Mashayekhi M.; Dabbagh Ohadi M.A.; Mojtabavi K.; Abbasnezhad R.; Vasighi K.; Atlasi R.; Ansari-Moghaddam A.; Taghi Heydari S.; Sharif-Alhoseini M.; Shafieian M.; O’Reilly G.; Rahimi-Movaghar V.,"The prevalence of helmet use in motorcyclists around the world: a systematic review and meta-analysis of 5,006,476 participants",International Journal of Injury Control and Safety Promotion,10.1080/17457300.2024.2335509,"Road traffic injuries present a significant public health burden, especially in developing countries. This systematic review and meta-analysis synthesized global evidence on motorcycle helmet use prevalence by including 299 records across 249 articles involving 5,006,476 participants from 1982 to 2022. The findings revealed a declining trend in helmet use prevalence over the past four decades, with an overall prevalence of 48.71%. The meta-regression analysis did not find any statistically significant change in the overall prevalence. Subgroup analysis showed higher helmet use prevalence in observation/survey records (54.29%) compared to crashed patient records (44.84%). Riders/Motorcyclists demonstrated a higher likelihood of wearing helmets than passengers in both observation/survey records (62.61 vs. 28.23%) and crashed patient records (47.76 vs. 26.61%). Countries with mandatory helmet use laws had higher helmet usage prevalence compared to those without (52.26 vs. 37.21%). The African continent had the lowest helmet use rates, while Latin America and the Caribbean regions had higher rates. This study provides a comprehensive overview of global helmet use prevalence, emphasizing disparities between high and low-income countries, variations in law enforcement, and trends over four decades. Targeted interventions are necessary to improve helmet-wearing habits, especially among passengers and regions with low usage rates. Effective legislation and awareness campaigns are crucial for promoting helmet use and reducing road traffic injuries burden. © 2024 Informa UK Limited, trading as Taylor & Francis Group."
2023,Rivera-Lara L.; Videtta W.; Calvillo E.; Mejia-Mantilla J.; March K.; Ortega-Gutierrez S.; Obrego G.C.; Paranhos J.E.; Suarez J.I.,Reducing the incidence and mortality of traumatic brain injury in Latin America,European Journal of Trauma and Emergency Surgery,10.1007/s00068-022-02214-4,"Traumatic brain injury (TBI) represents a considerable portion of the global injury burden. The incidence of TBI will continue to increase in view of an increase in population density, an aging population, and the increased use of motor vehicles, motorcycles, and bicycles. The most common causes of TBI are falls and road traffic injuries. Deaths related to road traffic injury are three times higher in low-and middle-income countries (LMIC) than in high-income countries (HIC). The Latin American Caribbean region has the highest incidence of TBI worldwide, primarily caused by road traffic injuries. Data from HIC indicates that road traffic injuries can be successfully prevented through concerted efforts at the national level, with coordinated and multisector responses to the problem. Such actions require implementation of proven measures to address the safety of road users and the vehicles themselves, road infrastructure, and post-crash care. In this review, we focus on the epidemiology of TBI in Latin America and the implementation of solutions and preventive measures to decrease mortality and long-term disability. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany."
2023,Canonica A.C.; Alonso A.C.; da Silva V.C.; Bombana H.S.; Muzaurieta A.A.; Leyton V.; Greve J.M.D.,Factors Contributing to Traffic Accidents in Hospitalized Patients in Terms of Severity and Functionality,International Journal of Environmental Research and Public Health,10.3390/ijerph20010853,"Trauma-related injuries in traffic-accident victims can be quite serious. Evaluating the factors contributing to traffic accidents is critical for the effective design of programs aimed at reducing traffic accidents. Therefore, this study identified which factors related to traffic accidents are associated with injury severity in hospitalized victims. Factors related to traffic accidents, injury severity, disability and data collected from blood toxicology were evaluated, along with associated severity and disability indices with data collected from toxicology on victims of traffic accidents at the largest tertiary hospital in Latin America. One hundred and twenty-eight victims of traffic accidents were included, of whom the majority were young adult men, motorcyclists, and pedestrians. The most frequent injuries were traumatic brain injury and lower-limb fractures. Alcohol use, hit-and-run victims, and longer hospital stays were shown to lead to greater injury severity. Women, elderly individuals, and pedestrians tend to suffer greater disability post-injury. Therefore, traffic accidents occur more frequently among young male adults, motorcyclists, and those who are hit by a vehicle, with trauma to the head and lower limbs being the most common injury. Injury severity is greater in pedestrians, elderly individuals and inebriated individuals. Disability was higher in older individuals, in women, and in pedestrians. © 2023 by the authors."
2022,Juengst S.B.; Perrin P.B.; Klyce D.W.; O’neil-Pirozzi T.M.; Herrera S.; Wright B.; Lengenfelder J.; Lercher K.; Callender L.; Arango-Lasprilla J.C.,Caregiver Characteristics of Adults with Acute Traumatic Brain Injury in the United States and Latin America,International Journal of Environmental Research and Public Health,10.3390/ijerph19095717,"Objectives: To compare characteristics of caregivers of adults with acute traumatic brain injury (TBI) in the U.S. and Latin America (Mexico and Colombia). Design: Secondary data analysis of two cohorts. Cohort 1: English-speaking caregivers of adults with TBI in the U.S. (n = 80). Cohort 2: Spanish-speaking caregivers of adults with TBI in Mexico or Colombia (n = 109). Results: Similarities between the U.S. and Latin American caregiver groups, respectively, were: predominantly women (81.3%, 81.7%, respectively); spouses/domestic partners (45%, 31.2%); and motor vehicle accident (41.5%, 48.6%) followed by fall etiologies (40%, 21.1%). Differences between U.S. and Latin American caregivers were: age (49.5 years, 41.5 years, p < 0.001); employment status ((X52 = 59.63, p < 0.001), full-time employment (63.7%, 25.7%), homemaker (2.5%, 31.2%), and retired (17.5%, 1.8%)); violence-related etiology (2.5%, 15.6%); and severity of depressive symptoms (M = 7.9, SD = 5.8; M = 5.8, SD = 5.7; p = 0.014). Conclusions: TBI caregivers in the U.S. were older and employed full-time or retired more often than those in Latin America. Violence-related etiology was nearly five times more common in Latin America, raising concerns for potential implications of post-traumatic stress and family adjustment after injury. Although both groups likely could use mental health support, this was particularly true of the U.S. cohort, maybe due to differential demographics, mechanisms of injury, or family and community support. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
