Year,Authors,Title,Source title,DOI
2026,Gomez-Niebles S.; Osejo-Arcos V.; Vergara-Garcia D.; Aguilera-Pena M.P.; Ibanez-Pinilla M.; Aponte-Caballero R.; Abaunza-Camacho J.F.; Avellaneda-Curcho L.C.; García-Agudelo L.; Barrera-Guzmán C.; Gonzalez N.R.; Riveros-Castillo W.M.; Saavedra J.M.,"The Shifting Landscape of Traumatic Brain Injury After COVID-19: Prelockdown, Lockdown, and Postlockdown Trends: Data from a Referral Center in Colombia",World Neurosurgery,10.1016/j.wneu.2025.124667
2026,Rodríguez S.; Guerrero-Guevara L.F.; Corzo-Forero J.; León-Prieto C.,"Built environment and environmental determinants of neurological health: opportunities in Bogotá, Colombia",Journal of Transport and Health,10.1016/j.jth.2026.102286
2026,Sanjuan J.; García A.F.; Gutiérrez-Martínez M.I.; Villegas-Gomez G.A.,Survival and Risk Factors in Interpersonal Injuries: A Secondary Ecosocial Study,Journal of Surgical Research,10.1016/j.jss.2025.12.014
2026,Ramos H.; Santiago R.; Alves M.,Gyroid lattice structure helmet liner for traumatic brain injury mitigation under oblique impact condition,International Journal of Protective Structures,10.1177/20414196261445999
2026,Sampaio R.A.G.; Ferreira R.G.; Leite Í.M.M.; de Sousa I.V.; da Cruz Silva G.G.; Linhares M.T.; Lacerda W.K.; Carvalho L.R.R.A.; Lucena R.B.,Fatal traumatic injury patterns in free-roaming cats: an anatomopathological study of 40 cases,BMC Veterinary Research,10.1186/s12917-026-05733-z
2025,Chong S.-L.; Zhu Y.; Wang Q.; Caporal P.; Roa J.D.; Chamorro F.I.P.; Teran Miranda T.E.; Dang H.; Gan C.S.; Abbas Q.; Ardila I.J.; Antar M.A.; Domínguez-Rojas J.A.; Rodríguez M.M.; Watzlawik N.Z.; Gómez Arriola N.E.; Yock-Corrales A.; Lasso-Palomino R.E.; Xiu M.M.; Ong J.S.M.; Kurosawa H.; Aparicio G.; Liu C.; Samransamruajkit R.; Jaramillo-Bustamante J.C.; Anantasit N.; Chor Y.K.; Turina D.M.; Lee P.C.; Flores M.F.; Pilar Orive F.J.; Ng Pei Wen J.; González-Dambrauskas S.; Lee J.H.; Kazzaz Y.M.; Jian J.; Qian S.; Fan L.; Lee O.P.E.; Chuah S.L.; You K.; Zhang T.; Noguera D.L.; Cerón E.; Barceló A.L.; Domínguez S.B.R.; Ortega Ocas C.J.,Clinical Outcomes of Hypertonic Saline vs Mannitol Treatment among Children with Traumatic Brain Injury,JAMA Network Open,10.1001/jamanetworkopen.2025.0438
2025,Modesto Dos Santos V.; Modesto Dos Santos L.A.; Plaça Tedeschi A.,Internal carotid dissection after the motorcycle accidents,Marmara Medical Journal,10.5472/marumj.1629061
2025,Aponte-Caballero R.; Osejo-Arcos V.; Avellaneda L.C.C.; Madrinan-Navia H.; Fernando Rodríguez M.S.; Riveros-Castillo W.M.; Saavedra J.M.G.; Peña C.E.,Traumatic Spinal Epidural Hematoma Associated with Cervical Nerve Root Avulsion without Vertebral Fractures: Case Report,Turkish Neurosurgery,10.5137/1019-5149.JTN.46720-24.2
2025,Flórez de Moya H.Y.; Montenegro-Apraez A.A.; Barrera L.R.Q.; Rojas W.E.; Fernandez L.D.P.; Trejos S.S.,Endovascular Treatment of Blunt Aortic Trauma: First Colombian Case Series,Journal of Endovascular Resuscitation and Trauma Management,10.26676/jevtm.48940
2024,Rivera Ordóñez A.C.; Jojoa Cultid A.I.; Mora Benitez D.A.,Moderate and severe traumatic brain injury in a hospital in southwest Colombia: Clinical radiological factors related to mortality; [Trauma craneoencefálico moderado y severo en un hospital del suroccidente de Colombia: factores clínico-radiológicos relacionados con la mortalidad],Acta Neurologica Colombiana,10.22379/anc.v40i2.1771
