year,era_causa_asociada,n_total_defunciones,n_causa_basica_moto_V20_V29,n_S06_causa_asociada_total,n_moto_Y_S06,pct_moto_con_S06,pct_geografia_hecho_poblada_en_moto
2015,A_sin_causa_mult,219472,3139,7329,1030,32.81,100.0
2016,A_sin_causa_mult,223078,3373,7293,1045,30.98,100.0
2017,A_sin_causa_mult,227624,2518,6821,678,26.93,100.0
2018,A_sin_causa_mult,236932,2909,6968,819,28.15,100.0
2019,B_con_causa_mult,244355,2920,7589,965,33.05,100.0
2020,B_con_causa_mult,300853,2637,7245,833,31.59,99.92
2021,B_con_causa_mult,363089,3508,8859,1134,32.33,100.0
2022,B_con_causa_mult,287251,5081,9948,1852,36.45,100.0
2023,B_con_causa_mult,268411,5296,10553,2085,39.37,100.0
2024,B_con_causa_mult,275778,5156,10948,2176,42.2,99.94
