depto_nombre_medlegal,tasa_fatal_moto_x100k
Casanare,23.13527112271883
Arauca,21.620609503631094
"Archipiélago de San Andrés, Providencia y Santa Catalina",20.267374630918184
Putumayo,18.463807276752465
Meta,16.611406737051166
Huila,16.39839452773029
Cesar,13.053147661734034
Caquetá,11.948247942483947
Tolima,11.598556757802738
Guaviare,11.337389415292826
Valle del Cauca,10.79557188418542
Cauca,9.558080613581033
Santander,9.36663193021251
Quindío,9.221243211691814
Córdoba,9.178508962765422
Magdalena,8.564565043279726
Antioquia,8.091681257355612
Sucre,8.048096110429872
Norte de Santander,7.979764432882453
Cundinamarca,7.8202358586386085
Boyacá,7.1014982901547485
Risaralda,6.882437229848857
Caldas,6.642706843675883
Nariño,6.542560345077668
Bolívar,6.491531635366402
La Guajira,6.012220547614601
Atlántico,4.85015650789545
Vichada,4.68585383023277
Amazonas,3.9381671178723354
Guainía,3.2131723983786764
Vaupés,2.813103179438831
"Bogotá, D.C.",2.676921094503581
Chocó,2.575119100286982
