cod_dpto,depto,muertes,motos,tasa_x100k_hab,tasa_x10k_moto,motos_x1000hab,robusto_alto
85,Casanare,1014,152633.0,23.376341344379384,6.643386423643642,351.87387656969014,True
81,Arauca,570,95368.0,21.629834600070048,5.976847579901015,361.8936958139439,True
88,Archipiélago de San Andrés,126,27897.0,20.29658791805333,4.516614689751586,449.3761215475665,True
86,Putumayo,666,207783.0,18.622557117563698,3.205267033395417,580.998616450261,False
50,Meta,1784,512961.0,16.6706287443503,3.4778472437475756,479.33757798938757,False
41,Huila,1859,489692.0,16.4983667593143,3.796263773964043,434.59484750414947,True
20,Cesar,1674,265549.0,13.129549753699372,6.303921310191339,208.27591442921832,True
18,Caquetá,492,248701.0,11.999007886908862,1.9782791384031428,606.5376545695368,False
73,Tolima,1567,392288.0,11.625814085204231,3.994514234440003,291.04450260731323,True
95,Guaviare,94,140934.0,11.42203066693723,0.6669788695417714,1712.502627674608,False
76,Valle del Cauca,4914,1722382.0,10.796542021826724,2.8530256354281454,378.424290611273,False
19,Cauca,1443,385872.0,9.621949406949849,3.739582037566862,257.3001290061366,False
68,Santander,2119,879352.0,9.430530369645638,2.4097289822505665,391.3523238135267,False
23,Córdoba,1707,673971.0,9.26666833144598,2.532749925441896,365.87379742313874,False
63,Quindio,503,206839.0,9.242621383824382,2.4318431243624268,380.0665137989764,False
47,Magdalena,1211,338229.0,8.646871685350979,3.5804144529298196,241.50476988146787,False
5,Antioquia,5319,2277010.0,8.131074075903966,2.3359581205176965,348.0830415787571,False
70,Sucre,762,207047.0,8.101350661009613,3.680323791216487,220.12603022441698,False
54,Norte de Santander,1251,448457.0,8.019487804096284,2.7895651088064186,287.48165005288627,False
25,Cundinamarca,2410,1836956.0,7.893993817135796,1.3119530353476077,601.6978965290666,False
15,Boyacá,885,171886.0,7.143366806800421,5.148761388362054,138.73951942979625,False
66,Risaralda,663,319234.0,6.8966908990517934,2.076846451192542,332.075146676908,False
17,Caldas,678,337427.0,6.666959042648281,2.0093234981195933,331.80117830142797,False
52,Nariño,1084,400883.0,6.553715832937078,2.7040308518944434,242.36838231137585,False
13,Bolívar,1386,436887.0,6.542913392220183,3.1724450487196916,206.24197714191192,False
44,La Guajira,556,41373.0,5.978383412867696,13.438716070867473,44.4862692339164,False
8,Atlántico,1280,414440.0,4.8698207506486275,3.088504970562687,157.6756649920951,False
99,Vichada,57,14289.0,4.794295293263679,3.989082511022465,120.1854130621837,False
91,Amazonas,28,25397.0,3.546533474631731,1.1024924203646098,321.6832523400788,False
11,"Bogotá, D.C.",2043,515400.0,2.6877982956175024,3.9639115250291037,67.80671764861775,False
27,Chocó,143,60772.0,2.6035569321432956,2.353057329033107,110.6457076085401,False
94,Guainía,13,8423.0,2.5208943357443427,1.5433930903478572,163.33456146134307,False
97,Vaupés,6,,1.4079483376823294,,,False
